Position,SecondaryAddress,BaudRate,AddressingMode,PrimaryAddress,EnhancedAddress
D1104,13004254,2400,primary,51,00000000
VS01-MF4-03090,35084183,2400,primary,124,00000000
VS01-MF4-04090,35085352,2400,primary,122,00000000
VS01-MF4-02090,35085380,2400,primary,121,00000000
ELM-1,00123703,2400,secondary,0,00000000
ELM,00123705,2400,secondary,0,00000000
ELM-3A,00140250,2400,secondary,0,00000000
ELM-3B,00140261,2400,secondary,0,00000000
D1601,13200281,2400,secondary,70,00000000
D1602,13200284,2400,secondary,69,00000000
D1502,13200285,2400,secondary,68,00000000
D1503,13200286,2400,secondary,67,00000000
D1504,13200291,2400,secondary,66,00000000
D1401,13200294,2400,secondary,61,00000000
D1402,13200296,2400,secondary,62,00000000
D1403,13200297,2400,secondary,63,00000000
D1404,13200298,2400,secondary,64,00000000
D1501,13200299,2400,secondary,65,00000000
D1304,13200301,2400,secondary,60,00000000
D1303,13200304,2400,secondary,59,00000000
D1302,13200312,2400,secondary,58,00000000
D1301,13200316,2400,secondary,57,00000000
D1203,13200317,2400,secondary,56,00000000
D1204,13200318,2400,secondary,55,00000000
D1202,13200320,2400,secondary,53,00000000
D1201,13200321,2400,secondary,54,00000000
D1103,13200322,2400,secondary,52,00000000
VV01-MF4-01092,13200786,2400,secondary,111,00000000
VVC01-MF4-02093,13200787,2400,secondary,112,00000000
VVC01-MF4-01093,13200788,2400,secondary,113,00000000
KV01-MF4-01091,13200790,2400,secondary,120,00000000
Lgh A1003,13200796,2400,secondary,1,00000000
Lgh A1002,13200797,2400,secondary,2,00000000
Lgh A1001,13200798,2400,secondary,3,00000000
Lgh A1004,13200799,2400,secondary,4,00000000
Lgh A1102,13200800,2400,secondary,5,00000000
Lgh A1101,13200841,2400,secondary,6,00000000
Lgh A1103,13200842,2400,secondary,7,00000000
Lgh A1201,13200843,2400,secondary,8,00000000
Lgh A1202,13200844,2400,secondary,9,00000000
Lgh A1203,13200845,2400,secondary,10,00000000
Lgh A1301,13200846,2400,secondary,11,00000000
Lgh A1302,13200847,2400,secondary,12,00000000
Lgh A1303,13200848,2400,secondary,13,00000000
Lgh A1402,13200849,2400,secondary,14,00000000
Lgh A1401,13200850,2400,secondary,15,00000000
Kran fläktrum,13200851,2400,secondary,16,00000000
Lgh C1003,13200852,2400,secondary,17,00000000
Lgh C1002,13200853,2400,secondary,18,00000000
Lgh C1004,13200854,2400,secondary,19,00000000
Lgh C1101,13200855,2400,secondary,20,00000000
Lgh C1104,13200856,2400,secondary,21,00000000
Lgh C1103,13200857,2400,secondary,22,00000000
Lgh C1102,13200858,2400,secondary,23,00000000
Lgh C1201,13200859,2400,secondary,24,00000000
Lgh C1204,13200860,2400,secondary,25,00000000
Lgh C1203,13200861,2400,secondary,26,00000000
Lgh C1202,13200862,2400,secondary,27,00000000
Lgh C1301,13200863,2400,secondary,28,00000000
Lgh C1304,13200864,2400,secondary,29,00000000
Lgh C1303,13200865,2400,secondary,30,00000000
Lgh C1302,13200866,2400,secondary,31,00000000
Lgh C1401,13200867,2400,secondary,32,00000000
Lgh C1404,13200868,2400,secondary,33,00000000
Lgh C1403,13200869,2400,secondary,34,00000000
Lgh C1402,13200870,2400,secondary,35,00000000
Lgh C1501,13200871,2400,secondary,36,00000000
Lgh C1504,13200872,2400,secondary,37,00000000
Lgh C1503,13200873,2400,secondary,38,00000000
Lgh C1502,13200874,2400,secondary,39,00000000
Lgh C1601,13200875,2400,secondary,40,00000000
Lgh C1604,13200876,2400,secondary,41,00000000
Lgh C1603,13200877,2400,secondary,42,00000000
Lgh C1602,13200878,2400,secondary,43,00000000
Lgh C1701,13200879,2400,secondary,44,00000000
Lgh C1703,13200880,2400,secondary,45,00000000
VVC01-MF4-03093,14106703,2400,secondary,0,00000000
D1604,14901481,2400,secondary,71,00000000
D1603,14901482,2400,secondary,72,00000000
,14901483,2400,secondary,73,00000000
,14901484,2400,secondary,74,00000000
D1102,14901551,2400,secondary,50,00000000
D1101,14901552,2400,secondary,49,00000000
D1002,14901553,2400,secondary,48,00000000
D1001,14901554,2400,secondary,47,00000000
Lgh C1702,14901555,2400,secondary,46,00000000
VV01-MF4,14901887,2400,secondary,116,00000000
KV01-MF4-03091,14901888,2400,secondary,117,00000000
VV01-MF4-03092,14901889,2400,secondary,118,00000000
KV01-MF4-02091,14901890,2400,secondary,119,00000000
VV01-MF4-02092,14901895,2400,secondary,115,00000000
VS01-VMM1,35085562,2400,secondary,123,00000000